date,player,win,patch,label,damage_share,damage_rank,score,score_rank,kills,deaths,assists,gold_share,damage_gold_ratio,duration_minutes,top_teammate,top_teammate_hero,top_teammate_damage_share,match_key
2026-04-07 23:44,Lou楼louy#22286,True,26.7,队友更主导,0.1296530365457958,4,9.2,4,7,8,36,0.17863289894270962,0.725807157098075,18.266666666666666,比奇堡暗裔小蜗#37950,薇恩,0.40171375104647156,TJ101:TJ101_400905425287
2026-03-08 00:55,Lou楼louy#22286,False,26.5,不分类（败局）,0.18026409146536002,4,10,3,6,12,51,0.23727650489878388,0.7597216232692575,25.216666666666665,比奇堡暗裔小蜗#37950,德莱文,0.27711270791369647,TJ101:TJ101_400867220984
2026-02-28 21:44,我不食蒸鱼饭#48075,False,26.3,不分类（败局）,0.1482970127069857,5,8.6,4,4,9,29,0.2737913816024124,0.5416423695992593,13.016666666666667,w2778#97519,塞拉斯,0.2645544181372857,TJ101:TJ101_400858183736
2026-02-26 14:24,祈山鹤#14781,True,26.3,队友更主导,0.17872608833575554,3,9.2,3,10,12,30,0.19594999251384937,0.9121005111705912,21.6,山本不在此#23824,普朗克,0.281189367839411,TJ101:TJ101_400855052168
2026-02-17 16:50,祈山鹤#14781,True,26.3,共同发挥或证据混合,0.14859156788721983,5,11.2,2,8,3,20,0.2099294413524905,0.707816716559166,8.85,今童话#58110,卡兹克,0.3203886058238074,TJ101:TJ101_400843972863
2026-02-09 22:17,祈山鹤#14781,True,26.3,自己主力输出,0.28236888914390634,1,12.2,1,12,8,29,0.21044683308163808,1.3417587948893852,16.733333333333334,山本不在此#23824,阿卡丽,0.21905123938489787,TJ101:TJ101_400834228215
2026-02-08 21:22,Lou楼louy#22286,False,26.3,不分类（败局）,0.16216760001341338,3,8.6,2,7,9,14,0.20526390870185449,0.7900443923094224,15.333333333333334,Elves丶偏执狂#53171,黛安娜,0.36112135743268164,TJ101:TJ101_400832739343
2026-02-05 00:39,哑巴狮子#44403,True,26.3,队友更主导,0.15764622873473927,3,9.2,4,21,22,32,0.16715007200373203,0.9431418535746694,24.316666666666666,你是猴子请叉叉#72428,劫,0.34148605597565407,TJ101:TJ101_400826870485
2026-02-04 21:57,哑巴狮子#44403,True,26.3,队友更主导,0.12884937654443718,4,8.4,5,11,14,28,0.19482328953330313,0.66136536783202,18.033333333333335,山本不在此#23824,佛耶戈,0.29598091288664186,TJ101:TJ101_400826547392
2026-01-18 23:17,小鸡脚黑子#56191,True,26.1,队友更主导,0.12880965244012246,5,7.1,5,4,8,18,0.18784167185661893,0.6857352320545992,18.4,山本不在此#23824,劫,0.2841851251575725,TJ101:TJ101_400802296023
2026-01-17 01:03,哑巴狮子#44403,True,26.1,自己主力输出,0.25677405978487755,1,11.5,1,14,10,40,0.20928198015576657,1.2269286614822885,19.7,小鸡脚黑子#56191,艾克,0.23866320363786134,TJ101:TJ101_400799082946
2026-01-17 00:27,哑巴狮子#44403,False,26.1,不分类（败局）,0.1904559310306136,4,8.1,5,5,15,31,0.18706702679489642,1.0181159891926481,19.55,祈山鹤#14781,金克丝,0.24408580031043706,TJ101:TJ101_400799080068
2026-01-13 01:13,Lou楼louy#22286,False,26.1,不分类（败局）,0.1760496531580869,3,9.6,3,5,8,38,0.18742164077405288,0.939324041935608,16.066666666666666,山本不在此#23824,劫,0.29108555433856637,TJ101:TJ101_400793557396
2026-01-13 00:07,Lou楼louy#22286,False,26.1,不分类（败局）,0.18042280710014597,4,7.7,4,5,6,7,0.2040636656395524,0.8841495938764306,11.016666666666667,山本不在此#23824,奎桑提,0.28720749564480436,TJ101:TJ101_400793504045
2026-01-11 00:20,哑巴狮子#44403,True,26.1,共同发挥或证据混合,0.24145835458966772,1,11.9,2,14,7,22,0.21386247544204323,1.12903562951184,13.8,山本不在此#23824,崔斯特,0.23426181001938579,TJ101:TJ101_400790340322
2026-01-09 23:20,三角洲威龙#44564,False,26.1,不分类（败局）,0.19198462135312913,2,8.3,4,8,11,21,0.19105631534248982,1.0048588082994023,15.833333333333334,山本不在此#23824,蕾欧娜,0.3324193906952212,TJ101:TJ101_400788502971
2026-01-09 18:36,祈山鹤#14781,False,26.1,不分类（败局）,0.26249110113469615,1,9.2,2,9,14,27,0.20409334353481254,1.2861325930011167,18.583333333333332,三角洲威龙#44564,卡莎,0.2257333391448372,TJ101:TJ101_400787908480
2026-01-09 17:53,三角洲威龙#44564,True,26.1,队友更主导,0.13826269912834385,4,8.4,4,10,11,29,0.1914624444067664,0.722140049745743,16.05,曾经遗忘了灬时光#60553,莎弥拉,0.2711115825951661,TJ101:TJ101_400787857397
2026-01-07 00:21,玩个肉混一混#47672,False,25.24,不分类（败局）,0.1470943212161765,4,8,5,8,14,30,0.19576594900287728,0.7513784800952007,17.416666666666668,小鸡脚黑子#56191,布兰德,0.26828673449606344,TJ101:TJ101_400784486255
2025-12-17 23:19,山本不在此#23824,False,25.24,不分类（败局）,0.15039405065363298,4,8.1,4,5,11,28,0.18675874493319322,0.805285186015956,16.15,祈山鹤#14781,兰博,0.31858469165828673,TJ101:TJ101_400755361185
2025-12-02 23:01,哑巴狮子#44403,True,25.23,队友更主导,0.1467872941663831,4,9.4,3,8,10,18,0.20033522914487917,0.7327083448724283,15.566666666666666,三角洲威龙#44564,黑默丁格,0.3064461244840289,TJ101:TJ101_400732257844
2025-11-27 20:48,哑巴狮子#44403,True,25.23,共同发挥或证据混合,0.26336632779258584,2,10.5,4,18,11,30,0.21502277586687737,1.2248299126955668,15.483333333333333,玩个肉混一混#47672,塔莉垭,0.2785330636627868,TJ101:TJ101_400725182573
2025-11-26 20:11,哑巴狮子#44403,True,25.23,共同发挥或证据混合,0.28775328973924275,1,9.6,3,12,11,22,0.2008857338239604,1.4324227224189343,19.15,没有人会去在意我#29974,亚托克斯,0.21992815048034228,TJ101:TJ101_400723853360
2025-11-25 19:39,山本不在此#23824,True,25.23,共同发挥或证据混合,0.2272102533356712,2,10.1,2,8,7,23,0.2098003841005645,1.082983018881231,22.15,玩个肉混一混#47672,奥莉安娜,0.24997030559781902,TJ101:TJ101_400722516531
2025-11-25 18:47,玩个肉混一混#47672,False,25.23,不分类（败局）,0.4571990260258662,1,11.7,1,20,13,20,0.2375994707147189,1.9242426115284417,23.716666666666665,尚能饭否CDC#69527,亚索,0.19272912342327958,TJ101:TJ101_400722428726
2025-11-20 23:44,山本不在此#23824,False,25.23,不分类（败局）,0.26843017923018725,1,10.6,1,15,9,15,0.24357784356028298,1.102030362477339,18.166666666666668,三角洲威龙#44564,布兰德,0.23614598188282082,TJ101:TJ101_400715956327
2025-11-12 21:54,祈山鹤#14781,False,25.22,不分类（败局）,0.23000828524084338,2,8.5,3,8,10,20,0.1941605394026299,1.1846294100155756,16.25,丨一片两片三四片#67094,凯隐,0.24962145020284554,TJ101:TJ101_400705297295
2025-11-10 23:20,祈山鹤#14781,True,25.22,自己主力输出,0.2598887470627484,2,11.8,1,22,10,28,0.22031683168316832,1.1796136730782665,17.65,Uzi不如k神#51162,金克丝,0.33250776014620986,TJ101:TJ101_400702835230
