player,with_games,with_wins,with_win_rate,without_games,without_wins,without_win_rate,difference_pp
玩个肉混一混#47672,200,98,0.49,39,17,0.4358974358974359,5.410256410256409
Lou楼louy#22286,186,88,0.4731182795698925,53,27,0.5094339622641509,-3.6315682694258444
山本不在此#23824,234,112,0.47863247863247865,5,3,0.6,-12.136752136752133
Elves丶偏执狂#53171,73,37,0.5068493150684932,166,78,0.46987951807228917,3.6969796996204005
祈山鹤#14781,170,78,0.4588235294117647,69,37,0.5362318840579711,-7.740835464620638
我不食蒸鱼饭#48075,8,7,0.875,231,108,0.4675324675324675,40.74675324675325
小鸡脚黑子#56191,74,39,0.527027027027027,165,76,0.46060606060606063,6.642096642096634
哑巴狮子#44403,115,54,0.46956521739130436,124,61,0.49193548387096775,-2.2370266479663394
三角洲威龙#44564,135,62,0.45925925925925926,104,53,0.5096153846153846,-5.0356125356125325
